,product_name,brand_name,current_price,original_price,discounted,number_of_reviews,number_of_stars,product_shipping,page,page_rank
1680,OtterBox Symmetry Series Marvel Case for iPhone Xs & iPhone X - Retail Packaging - Infinity WAR,OtterBox,$30.18,$30.18,False,47,4.5 out of 5 stars,[],6,47
1681,OtterBox Symmetry Series Slim Case for iPhone 6s & iPhone 6 (NOT Plus) - Non-Retail Packaging - Rose,OtterBox,$27.96,$27.96,False,41,4.5 out of 5 stars,[],6,48
1682,OtterBox COMMUTER SERIES Case for iPhone 8 & iPhone 7 (NOT Plus) - Frustration Free Packaging - BLACK,OtterBox,$24.71,$39.95,True,"5,342",4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,1
1683,OtterBox DEFENDER SERIES Case for iPhone 8 & iPhone 7 (NOT Plus) - Frustration Free Packaging - BLACK,OtterBox,$38.98,$49.95,True,"5,128",4.4 out of 5 stars,[],7,2
1684,OtterBox COMMUTER SERIES Case for iPhone Xs & iPhone X - Retail Packaging - BESPOKE WAY (BLAZER BLUE/STORMY SEAS BLUE),OtterBox,$19.81,$39.95,True,"1,733",4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,3
1685,OtterBox SYMMETRY SERIES Case for iPhone Xs & iPhone X - Retail Packaging - ASPEN GLEAM (CITRUS/SUNFLOWER),OtterBox,$34.70,$39.95,True,"3,085",4.2 out of 5 stars,[],7,4
1686,OtterBox SYMMETRY CLEAR SERIES Case for iPhone XR - Retail Packaging - STARDUST (SILVER FLAKE/CLEAR),OtterBox,$23.89,$49.95,True,976,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,5
1687,OtterBox SYMMETRY SERIES Case for iPhone 8 & iPhone 7 (NOT Plus) - Retail Packaging - BLACK,OtterBox,$34.43,$34.43,False,"4,019",4.3 out of 5 stars,[],7,6
1688,OtterBox Commuter Series Case for iPhone XR - Retail Packaging - Black,OtterBox,$37.46,$49.95,True,894,4.6 out of 5 stars,[],7,7
1689,OtterBox DEFENDER iPhone 6/6s Case - Frustration Free Packaging - GLACIER (WHITE/GUNMETAL GREY),OtterBox,$29.43,$29.43,False,"9,016",4.4 out of 5 stars,[],7,8
1690,OtterBox Symmetry Series Slim Case for iPhone 8 & iPhone 7 - Non-Retail Packaging - Unicorn,OtterBox,$19.97,$19.97,False,253,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,9
1691,OtterBox COMMUTER SERIES iPhone 6/6s Case - Frustration Free Packaging - BLACK,OtterBox,$24.95,$34.95,True,"4,054",4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,10
1692,"OtterBox Commuter Series Case for iPhone 6 Plus/6s Plus (5.5"" Version) - Frustration Free Packaging - Black",OtterBox,$20.99,$44.95,True,"1,660",4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,11
1693,OtterBox Defender Series SCREENLESS Edition Case for iPhone Xr - Retail Packaging - Black,OtterBox,$53.95,$59.95,True,681,4.6 out of 5 stars,[],7,12
1694,OtterBox Symmetry Series Case for iPhone Xs & iPhone X - Non-Retail Packaging - Muted Waters,OtterBox,$19.95,$19.95,False,60,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,13
1695,"Rugged Protection OtterBox Defender Case for iPhone 5, 5S and SE - Case Only - Morning Mist (Bahama Blue/Light Teal)",OtterBox,$16.95,$16.95,False,203,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,14
1696,OtterBox DEFENDER SERIES for iPhone 5/5s/SE - Retail Packaging - STEEL BERRY (WHETSTONE BLUE/SLATE GREY),OtterBox,$21.01,$21.01,False,817,4.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,15
1697,OtterBox DEFENDER SERIES Case for  iPhone 8 Plus & iPhone 7 Plus (ONLY) - Retail Packaging - BLACK,OtterBox,$29.68,$59.95,True,"6,318",4.2 out of 5 stars,[],7,16
1698,OtterBox COMMUTER SERIES Case for iPhone Xs Max - Retail Packaging - BLACK,OtterBox,$26.50,$49.95,True,620,4.6 out of 5 stars,[],7,17
1699,OtterBox COMMUTER SERIES Case for  iPhone 8 Plus & iPhone 7 Plus (ONLY) - Frustration Free Packaging - BLACK,OtterBox,$31.99,$49.95,True,"4,346",4.3 out of 5 stars,[],7,18
1700,OtterBox DEFENDER SERIES SCREENLESS EDITION Case for iPhone Xs Max - Retail Packaging - DARK LAKE (CHINCHILLA/DRESS BLUES),OtterBox,$29.90,$59.95,True,658,4.5 out of 5 stars,[],7,19
1701,"OtterBox Defender Series Case for iPhone X & iPhone Xs (ONLY), Case Only - Bulk Packaging - (Blaze Orange/Black W/Realtree Xtra CAMO)",OtterBox,$19.95,$19.95,False,7,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,20
1702,"NEW OtterBox SYMMETRY SERIES Case for iPhone 6/6s (4.7"" Version) - Retail Packaging - PREVAIL (CORAL/GUNMETAL GREY)",OtterBox,$17.99,$17.99,False,"1,896",3.9 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,21
1703,OtterBox SYMMETRY SERIES Case for  iPhone 8 Plus & iPhone 7 Plus (ONLY) - Frustration Free Packaging - BLACK,OtterBox,$24.31,$24.31,False,"4,187",4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,22
1704,Rugged Protection OtterBox Defender Series Case for iPhone 6/6s - Bulk Packaging - Realtree MAX 5 (Blaze Orange/Black/MAX 5 Design,OtterBox,$19.95,$19.95,False,532,4.6 out of 5 stars,['$4.48 shipping'],7,23
1705,OtterBox Symmetry Series Slim Case for iPhone 8 Plus & iPhone 7 Plus (ONLY) - Non-Retail Packaging - Aloha Ombre,OtterBox,$34.97,$34.97,False,602,4.5 out of 5 stars,[],7,24
1706,OtterBox DEFENDER iPhone 6 Plus/6s Plus Case - Frustration Free Packaging - INDIGO HARBOR (ROYAL BLUE/ADMIRAL BLUE),OtterBox,$22.26,$22.26,False,918,4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,25
1707,OtterBox STRADA SERIES Case for  iPhone 8 Plus & iPhone 7 Plus (ONLY) - Retail Packaging - SHADOW (BLACK/PEWTER),OtterBox,$34.22,$34.22,False,202,4.5 out of 5 stars,[],7,26
1708,"OtterBox SYMMETRY SERIES Case for iPhone SE, iPhone 5S, iPhone 5 - Non-Retail Packaging - ROSSO CORSA",OtterBox,$20.97,$20.97,False,15,4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,27
1709,OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK,OtterBox,$24.27,$49.95,True,889,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,28
1710,OtterBox COMMUTER SERIES iPhone 6/6s Case - Retail Packaging - AQUA SKY (AQUA BLUE/LIGHT TEAL),OtterBox,$23.55,$34.95,True,"2,102",4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,29
1711,"OtterBox Defender Series Case for Apple iPhone SE, iPhone 5s, iPhone 5 (Case Only, No Holster) - Non-Retail Packaging - Hibiscus Pink/Whetstone Blue",OtterBox,$17.99,$17.99,False,28,4.8 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,30
1712,OtterBox Symmetry Series Case for iPhone 6s Plus & iPhone 6 Plus - Non-Retail Packaging - Teal Marble,OtterBox,$27.99,$27.99,False,21,4.4 out of 5 stars,[],7,31
1713,OtterBox Defender Series Case for iPhone 6s Plus & iPhone 6 Plus (Case only - No Holster) Non-Retail Packaging - Aqua Blue/Hibiscus Pink,OtterBox,N/A,N/A,N/A,259,4.6 out of 5 stars,[],7,32
